sep=;
Release Tag;API Item Type;API Item Name
public;class;AccuDrawCommandItems
deprecated;class;AccuDrawCommandItems
public;function;AccuDrawDialog
public;interface;AccuDrawDialogProps
deprecated;interface;AccuDrawDialogProps
public;function;AccuDrawFieldContainer
public;interface;AccuDrawFieldContainerProps
deprecated;interface;AccuDrawFieldContainerProps
public;class;AccuDrawGrabInputFocusEvent
deprecated;class;AccuDrawGrabInputFocusEvent
public;const;AccuDrawInputField
public;interface;AccuDrawInputFieldProps
deprecated;interface;AccuDrawInputFieldProps
public;class;AccuDrawKeyboardShortcuts
public;class;AccuDrawPopupManager
public;class;AccuDrawSetCompassModeEvent
deprecated;class;AccuDrawSetCompassModeEvent
public;interface;AccuDrawSetCompassModeEventArgs
deprecated;interface;AccuDrawSetCompassModeEventArgs
public;class;AccuDrawSetFieldFocusEvent
deprecated;class;AccuDrawSetFieldFocusEvent
public;interface;AccuDrawSetFieldFocusEventArgs
deprecated;interface;AccuDrawSetFieldFocusEventArgs
public;class;AccuDrawSetFieldLockEvent
deprecated;class;AccuDrawSetFieldLockEvent
public;interface;AccuDrawSetFieldLockEventArgs
deprecated;interface;AccuDrawSetFieldLockEventArgs
public;class;AccuDrawSetFieldValueFromUiEvent
deprecated;class;AccuDrawSetFieldValueFromUiEvent
public;interface;AccuDrawSetFieldValueFromUiEventArgs
deprecated;interface;AccuDrawSetFieldValueFromUiEventArgs
public;class;AccuDrawSetFieldValueToUiEvent
deprecated;class;AccuDrawSetFieldValueToUiEvent
public;interface;AccuDrawSetFieldValueToUiEventArgs
deprecated;interface;AccuDrawSetFieldValueToUiEventArgs
public;interface;AccuDrawUiSettings
public;class;AccuDrawUiSettingsChangedEvent
deprecated;class;AccuDrawUiSettingsChangedEvent
public;function;AccuDrawWidget
public;class;AccuDrawWidgetControl
deprecated;class;AccuDrawWidgetControl
public;interface;Action
deprecated;interface;Action
public;class;ActionButtonItemDef
deprecated;class;ActionButtonItemDef
public;interface;ActionCreatorsObject
deprecated;interface;ActionCreatorsObject
public;type;ActionsUnion
deprecated;type;ActionsUnion
public;type;ActionTypes
deprecated;type;ActionTypes
public;interface;ActionWithPayload
deprecated;interface;ActionWithPayload
public;class;ActiveContentChangedEvent
deprecated;class;ActiveContentChangedEvent
public;interface;ActiveContentChangedEventArgs
deprecated;interface;ActiveContentChangedEventArgs
internal;function;ActiveFrontstageDefProvider
public;function;ActivityCenterField
public;class;ActivityMessageCancelledEvent
deprecated;class;ActivityMessageCancelledEvent
public;interface;ActivityMessageEventArgs
deprecated;interface;ActivityMessageEventArgs
public;class;ActivityMessageUpdatedEvent
deprecated;class;ActivityMessageUpdatedEvent
internal;function;addFrontstageWidgetDefs
internal;function;addPanelSectionWidgetDefs
public;interface;AllowedUiItemsProviderOverrides
public;class;AnalysisAnimationTimelineDataProvider
public;type;AnyItemDef
deprecated;type;AnyItemDef
public;type;AnyToolbarItemDef
public;class;AppNotificationManager
public;class;AppUiSettings
deprecated;class;AppUiSettings
beta;function;areNoFeatureOverridesActive
deprecated;function;areNoFeatureOverridesActive
public;interface;BackstageActionItem
public;function;BackstageAppButton
public;interface;BackstageAppButtonProps
public;function;BackstageComposer
internal;function;BackstageComposerActionItem
internal;interface;BackstageComposerActionItemProps
internal;function;BackstageComposerItem
internal;interface;BackstageComposerItemProps
public;interface;BackstageComposerProps
deprecated;interface;BackstageComposerProps
internal;function;BackstageComposerStageLauncher
internal;interface;BackstageComposerStageLauncherProps
public;type;BackstageItem
public;namespace;BackstageItemUtilities
public;class;BackstageManager
deprecated;class;BackstageManager
public;interface;BackstageStageLauncher
public;interface;BackstageToggledArgs
public;interface;BaseItemState
deprecated;interface;BaseItemState
public;class;BaseUiItemsProvider
deprecated;class;BaseUiItemsProvider
public;function;BasicNavigationWidget
public;interface;BasicNavigationWidgetProps
deprecated;interface;BasicNavigationWidgetProps
public;function;BasicToolWidget
public;interface;BasicToolWidgetProps
deprecated;interface;BasicToolWidgetProps
alpha;class;BumpToolSetting
public;class;Calculator
internal;class;CalculatorEngine
internal;enum;CalculatorKeyType
internal;enum;CalculatorOperator
public;class;CalculatorPopup
deprecated;class;CalculatorPopup
public;interface;CalculatorPopupProps
deprecated;interface;CalculatorPopupProps
public;interface;CalculatorProps
public;interface;CanFloatWidgetOptions
alpha;class;CardContainer
alpha;interface;CardContainerProps
alpha;interface;CardInfo
alpha;class;CardSelectedEvent
deprecated;class;CardSelectedEvent
alpha;interface;CardSelectedEventArgs
deprecated;interface;CardSelectedEventArgs
public;interface;ChildWindowLocationProps
internal;function;clearKeyinPaletteHistory
public;enum;ColorTheme
public;type;CombinedReducerState
deprecated;type;CombinedReducerState
public;const;combineReducers
deprecated;const;combineReducers
public;type;CombineReducersFunction
deprecated;type;CombineReducersFunction
public;interface;CommandHandler
deprecated;interface;CommandHandler
public;class;CommandItemDef
deprecated;class;CommandItemDef
public;interface;CommandItemProps
deprecated;interface;CommandItemProps
public;interface;CommonBackstageItem
public;interface;CommonStatusBarItem
public;interface;CommonToolbarItem
public;class;ComponentGenerator
public;type;ConditionalBooleanValue
public;const;ConditionalBooleanValue
public;type;ConditionalStringValue
public;const;ConditionalStringValue
public;interface;ConditionalValue
public;class;ConfigurableBase
deprecated;class;ConfigurableBase
public;class;ConfigurableCreateInfo
deprecated;class;ConfigurableCreateInfo
public;enum;ConfigurableUiActionId
deprecated;enum;ConfigurableUiActionId
public;const;ConfigurableUiActions
deprecated;const;ConfigurableUiActions
public;type;ConfigurableUiActionsUnion
deprecated;type;ConfigurableUiActionsUnion
public;function;ConfigurableUiContent
public;interface;ConfigurableUiContentProps
deprecated;interface;ConfigurableUiContentProps
internal;const;ConfigurableUiContext
public;class;ConfigurableUiControl
deprecated;class;ConfigurableUiControl
public;type;ConfigurableUiControlConstructor
deprecated;type;ConfigurableUiControlConstructor
