sep=;
Release Tag;API Item Type;API Item Name
public;class;AbstractTreeNodeLoader
deprecated;class;AbstractTreeNodeLoader
public;class;AbstractTreeNodeLoaderWithProvider
deprecated;class;AbstractTreeNodeLoaderWithProvider
public;class;ActionButtonList
public;interface;ActionButtonListProps
public;type;ActionButtonRenderer
public;interface;ActionButtonRendererProps
public;interface;ActiveMatchInfo
deprecated;interface;ActiveMatchInfo
public;function;adjustDateToTimezone
public;class;ArrayPropertyValueRenderer
public;interface;AsyncErrorMessage
public;interface;AsyncValueProcessingResult
public;class;BasePointTypeConverter
public;class;BasicPropertyEditor
public;class;BooleanEditor
public;class;BooleanPropertyEditor
public;class;BooleanTypeConverter
beta;interface;BooleanValue
beta;interface;BuildFilterOptions
public;interface;CategorizedPropertyItem
public;type;CategorizedPropertyTypes
public;interface;CategoryRecordsDict
public;interface;CheckBoxInfo
deprecated;interface;CheckBoxInfo
public;type;CheckBoxState
public;const;CheckBoxState
public;interface;CheckboxStateChange
deprecated;interface;CheckboxStateChange
public;interface;CommonPropertyGridProps
public;interface;CompletionObserver
deprecated;interface;CompletionObserver
public;enum;CompositeFilterType
public;class;CompositePropertyDataFilterer
public;class;CompositeTypeConverter
public;function;computeVisibleNodes
deprecated;function;computeVisibleNodes
public;function;ControlledSelectableContent
public;interface;ControlledSelectableContentProps
deprecated;interface;ControlledSelectableContentProps
public;function;ControlledTree
deprecated;function;ControlledTree
public;interface;ControlledTreeProps
deprecated;interface;ControlledTreeProps
public;namespace;ConvertedPrimitives
beta;function;createEditorSpec
public;function;createMergedPropertyDataProvider
public;function;CustomizablePropertyRenderer
alpha;class;CustomNumberEditor
alpha;class;CustomNumberPropertyEditor
public;interface;CustomToolbarItem
deprecated;interface;CustomToolbarItem
public;interface;DataController
public;class;DataControllerBase
public;interface;DateFormatOptions
alpha;function;DatePicker
deprecated;function;DatePicker
alpha;function;DatePickerPopupButton
deprecated;function;DatePickerPopupButton
alpha;interface;DatePickerPopupButtonProps
deprecated;interface;DatePickerPopupButtonProps
alpha;interface;DatePickerProps
deprecated;interface;DatePickerProps
public;class;DateTimeTypeConverter
public;class;DateTimeTypeConverterBase
beta;interface;DateValue
public;const;DEFAULT_LINKS_HANDLER
beta;function;defaultPropertyFilterBuilderRuleValidator
deprecated;function;defaultPropertyFilterBuilderRuleValidator
public;interface;DelayLoadedTreeNodeItem
deprecated;interface;DelayLoadedTreeNodeItem
public;enum;Direction
public;class;DisplayValuePropertyDataFilterer
public;class;DoublePropertyValueRenderer
deprecated;class;DoublePropertyValueRenderer
public;interface;EditableTreeDataProvider
deprecated;interface;EditableTreeDataProvider
public;function;EditorContainer
public;interface;EditorContainerProps
deprecated;interface;EditorContainerProps
beta;interface;EditorProps
beta;function;EditorRenderer
beta;interface;EditorSpec
beta;function;EditorsRegistryProvider
public;class;EnumButtonGroupEditor
beta;interface;EnumChoice
public;class;EnumEditor
public;class;EnumPropertyButtonGroupEditor
public;class;EnumPropertyEditor
public;class;EnumTypeConverter
beta;interface;EnumValue
beta;interface;EnumValueMetadata
public;interface;ErrorObserver
deprecated;interface;ErrorObserver
public;class;FavoritePropertiesRenderer
alpha;function;FavoritePropertyList
alpha;interface;FavoritePropertyListProps
deprecated;interface;FavoritePropertyListProps
public;interface;FilteredPropertyData
public;enum;FilteredType
public;class;FilteringInput
public;interface;FilteringInputProps
public;enum;FilteringInputStatus
public;class;FilteringPropertyDataProvider
public;type;FlatGridItem
public;interface;FlatGridItemBase
public;enum;FlatGridItemType
public;class;FloatTypeConverter
beta;function;FormattedNumericInput
public;function;from
deprecated;function;from
beta;function;getPropertyFilterBuilderOperators
